ncr_report,past_machine_defects,inspection_results,spc_trend,customer_complaint,quality_history_score
"NON-CONFORMANCE REPORT | Wafer 2915 | LOT_29B | CHA | 2024-03-04 | Recipe: METAL_ETCH_A_V3 | Operator: OP_NGUYEN | WO: WO-CHA-2915

FAULT: TCP +50 — TCP Top Power deviated +50W above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak registered at 2323 counts against a normal mean of ~1,879 — a 24% elevation, consistent with excess plasma density from over-powered TCP source. Endpoint mean: 1555.1. Pressure held at 1187.3 mTorr (normal). RF phase std: 745.7. Operator note: None recorded. 

METROLOGY:
Etch rate: not collected — lot held before metrology. CD bias: not collected. Uniformity: not collected. Pass/Fail: PENDING — lot held, metrology not completed.. OEE: 0.0000 (quality rate = 0 confirms wafer failed quality gate).

DEFECTS IDENTIFIED:
Over-etch across die. CD widening beyond specification on critical metal layer. Pattern collapse risk on sub-100nm features. The elevated endpoint signal is direct evidence of excess plasma ion density caused by +50W TCP over-power.

ROOT CAUSE RECORDED IN NCR:
TCP generator power set-point overridden or impedance matching network fault. Excess plasma density caused accelerated etch beyond process specification. Probable causes in order of likelihood: (1) recipe parameter upload error loading wrong TCP set-point; (2) impedance matching network fault causing generator to deliver more power than commanded; (3) TCP generator calibration drift after 1241 hours of operation.

CORRECTIVE ACTION:
Lot held. TCP generator output verified at chamber terminal. Reference wafer run. Impedance matching network recalibration scheduled. PM work order raised: WO-CHA-2915.

NCR STATUS: OPEN | SEVERITY: CRITICAL","CHAMBER CHA DEFECT HISTORY AT TIME OF THIS FAULT:

No prior fault events recorded on CHA before this run. This is the first quality deviation on CHA in the current production history. RF generator hours at time of fault: 1241.04 hrs. PM current: 18 wafers since last PM (threshold: 35). PM not a likely contributor. Open work order active on CHA at time of fault: WO-CHA-2915. This indicates a known issue was already being tracked on this chamber.","INSPECTION FINDINGS:

Visual inspection result: FAIL (quality rate = 0). Etch rate: not collected — wafer held before metrology step. CD bias: not collected. Uniformity: not collected. Endpoint peak 2323 is 24% above normal mean — strong indicator of elevated plasma density consistent with TCP over-power. SEM review: REQUIRED. Disposition: LOT HELD pending engineering review.","SPC FINDINGS:

Parameter: TCP Top Power (tcp_top_pwr). Rule violated: Nelson Rule 1 — single point exceeds 3-sigma upper control limit. Alert level: RED. A +50W deviation on a process with natural std of ~4.7W represents a >10-sigma excursion — this is not drift, it is an acute step-change event. This is the FIRST tcp_top_pwr Rule 1 violation on CHA in this production history. No prior trend was visible on SPC charts — the event onset was sudden. Recommended action: HOLD LOT. Do not release until TCP generator output is verified.",No customer complaint raised for this event. Lot was held internally before shipment.,1
"NON-CONFORMANCE REPORT | Wafer 2916 | LOT_29B | CHB | 2024-03-04 | Recipe: METAL_ETCH_A_V3 | Operator: OP_SMITH | WO: WO-CHB-2916

FAULT: RF -12 — RF Bottom Power deviated -12W below set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 1780. Endpoint mean: 1197.0. Pressure: 1186.7 mTorr. RF phase std: 1035.7. Operator note: None.

METROLOGY:
Etch rate: not collected — lot held before metrology. CD bias: not collected. Uniformity: not collected. Pass/Fail: PENDING.. OEE: 0.0000.

DEFECTS IDENTIFIED:
Under-etch. Reduced RF bias means less ion energy at wafer surface, resulting in insufficient directionality for anisotropic etch. Notching on sidewall features expected. Sidewall bowing and positive CD bias consistent with under-powered RF bias.

ROOT CAUSE RECORDED IN NCR:
RF bias -12W loss. Most likely: (1) degraded RF cable introducing impedance mismatch — generator delivers less power than commanded; (2) RF matching network component failure; (3) RF power meter calibration error masking the true delivery shortfall. Sudden onset with no prior SPC drift points to hardware fault. RF gen hrs: 987.74. PM: 18 wafers.

CORRECTIVE ACTION:
RF cable inspected. Matching network calibrated. Power meter verified. WO: WO-CHB-2916.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHB DEFECT HISTORY:

No prior faults on CHB. First deviation on this chamber. RF gen hrs: 987.74. PM: 18 wafers — current. Open WO: WO-CHB-2916.","INSPECTION FINDINGS:

Result: PENDING — metrology not collected. Etch rate: not collected. Under-etch and notching expected based on RF -12W deviation. Endpoint peak 1780. SEM: REQUIRED.","SPC FINDINGS:

Parameter: rf_pwr. Rule violated: Rule 1 (>3σ below LCL). Alert: RED. Low-side violation — RF power loss. First rf_pwr violation. Sudden onset (no prior drift) consistent with hardware fault. Action: INVESTIGATE.",No customer complaint raised. Lot held.,2
"NON-CONFORMANCE REPORT | Wafer 2917 | LOT_29B | CHA | 2024-03-04 | Recipe: METAL_ETCH_A_V3 | Operator: OP_CHEN | WO: WO-CHA-2917

FAULT: RF +10 — RF Bottom Power deviated +10W above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 1838. Endpoint mean: 1227.0. RF phase std: 657.4 — notably BELOW normal mean of 944, which is counter-intuitive for an RF fault and may indicate the matching network was partially compensating. Pressure: 1185.4 mTorr. Operator note: Chamber flagged. QC review needed.

METROLOGY:
Etch rate: 396.7 Å/min (-65.3 vs baseline). CD bias: -7.40 nm (negative bias = CD narrowing, consistent with elevated RF bias). Uniformity: 12.42%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Ion bombardment damage on critical layer. CD narrowing of approximately 4–5 nm, consistent with elevated ion energy from increased RF bias voltage. Micro-masking detected. Negative CD bias is the diagnostic signature of RF over-power.

ROOT CAUSE RECORDED IN NCR:
RF bias elevated +10W. Most likely: (1) recipe parameter error on RF bias channel — wrong set-point loaded; (2) RF matching network calibration drift causing generator to compensate with higher output; (3) DC bias controller malfunction. RF generator hours: 1241.07. PM: 19 wafers.

CORRECTIVE ACTION:
Lot held. RF bias set-point verified. Matching network tuner inspected. RF power calibration check run. WO: WO-CHA-2917.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHA DEFECT HISTORY AT TIME OF THIS FAULT:

Prior faults on CHA: TCP +50. RF gen hrs: 1241.07. PM: 19 wafers — current. Open WO: WO-CHA-2917.","INSPECTION FINDINGS:

Result: FAIL. Etch rate 396.7 Å/min (-65.3). CD bias: -7.40 nm — NEGATIVE bias confirms ion bombardment / CD narrowing. This is the diagnostic signature of RF over-power. Uniformity: 12.42%. SEM triggered. Endpoint peak 1838.","SPC FINDINGS:

Parameter: rf_pwr. Rule violated: Nelson Rule 1 (>3σ above UCL). Alert level: RED. This is occurrence #2 of rf_pwr SPC violations — pattern is developing. Note: rf_pwr and tcp_top_pwr violations co-occurring in the same lot suggests the chamber power delivery system broadly is in an unstable state. Action: INVESTIGATE. RF matching network inspection required.",No customer complaint raised.,2
"NON-CONFORMANCE REPORT | Wafer 2918 | LOT_29B | CHB | 2024-03-04 | Recipe: METAL_ETCH_A_V3 | Operator: OP_PATEL

FAULT: Pr +3 — Chamber Pressure deviated +3 mTorr above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Pressure mean: 1187.2 mTorr (normal baseline ~1,189 mTorr). Endpoint peak: 1840. Endpoint mean: 1168.2. RF phase std: 1154.2. Operator note: None.

METROLOGY:
Etch rate: 382.2 Å/min (-79.8 vs baseline). Higher pressure reduces mean free path, causing ion scattering and a reduced effective etch rate — negative etch rate deviation is expected and confirmed. CD bias: -7.94 nm (negative = increased lateral/isotropic etch component from scattered ions). Uniformity: 13.37%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Reduced mean free path causing ion scattering. Etch non-uniformity across wafer. Negative CD bias from isotropic etch component. Uniformity of 13.37% significantly above process mean of 3.78%.

ROOT CAUSE RECORDED IN NCR:
Chamber pressure elevated +3 mTorr. Probable causes: (1) VAT valve controller drift causing throttle valve to hold a more closed position; (2) APC calibration offset; (3) chamber micro-leak adding to gas load. RF gen hrs: 987.77. PM: 19 wafers.

CORRECTIVE ACTION:
APC set-point and calibration verified. VAT valve position feedback checked. Chamber base pressure test run to exclude micro-leak.

NCR STATUS: OPEN | SEVERITY: MEDIUM","CHAMBER CHB DEFECT HISTORY:

Prior faults: RF -12.  RF gen hrs: 987.77. PM: 19 wafers — current.","INSPECTION FINDINGS:

Result: FAIL. Etch rate 382.2 Å/min (-79.8). CD bias -7.94 nm (negative — scattering signature). Uniformity 13.37%. Non-uniformity confirmed. SEM: REQUIRED.","SPC FINDINGS:

Parameter: chamber pressure. Rule: Rule 4 (2/3 >2σ). Alert: YELLOW. First pressure violation. Action: MONITOR. APC calibration scheduled.",No customer complaint raised.,4
"NON-CONFORMANCE REPORT | Wafer 2936 | LOT_29B | CHA | 2024-03-04 | Recipe: METAL_ETCH_A_V3 | Operator: OP_NGUYEN

FAULT: TCP +10 — TCP Top Power deviated +10W above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 1903. Endpoint mean: 1270.9. Pressure mean: 1187.1 mTorr. RF phase std: 965.4. Operator note: None recorded.

METROLOGY:
Etch rate: 397.2 Å/min (-64.8 vs baseline). CD bias: -5.00 nm. Uniformity: 18.83% (process target <15% — EXCEEDS TARGET.) Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Borderline over-etch. CD measurements within specification but at upper tolerance boundary. Uniformity of 18.83% is significantly above process mean of 3.78% — this is the most diagnostic indicator. Elevated endpoint mean (1270.9 vs normal ~1,262) confirms above-nominal plasma activity.

ROOT CAUSE RECORDED IN NCR:
Minor TCP power set-point drift of +10W. At this magnitude, probable causes are early-stage TCP generator aging, chamber wall coating variation affecting impedance, or PM being overdue (current count: 20 wafers — within schedule.) This is a lower-severity event but is meaningful in context: this chamber has already experienced a TCP +50 violation earlier in this lot, suggesting TCP power control on this chamber is in an unstable state.

CORRECTIVE ACTION:
Lot flagged for enhanced inspection. TCP monitoring frequency increased. PM window scheduled. WO: WO-CHA-2936.

NCR STATUS: OPEN | SEVERITY: MEDIUM","CHAMBER CHA DEFECT HISTORY AT TIME OF THIS FAULT:

Prior faults on CHA this lot: TCP +50; RF +10. IMPORTANT CONTEXT: TCP +10 is the third fault on CHA within LOT_29B alone (TCP +50 and RF +10 preceded it). This density of faults within a single lot on one chamber is a strong indicator of systemic chamber instability rather than isolated events. RF generator hours: 1241.10 hrs. PM wafer count: 20 (current.) Open WO: WO-CHA-2936.","INSPECTION FINDINGS:

Result: FAIL. Etch rate: 397.2 Å/min (-64.8 vs baseline). CD bias: -5.00 nm. Uniformity: 18.83%. Endpoint mean 1270.9 elevated. Borderline over-etch confirmed. SEM review triggered due to uniformity exceeding 15% threshold.","SPC FINDINGS:

Parameter: tcp_top_pwr. Rule violated: Nelson Rule 4 (2 of 3 consecutive points >2σ). Alert level: YELLOW. This is the second tcp_top_pwr SPC event on CHA within this lot (Rule 1 violation already recorded on wafer 2915). Two tcp_top_pwr alerts on the same chamber within the same lot is a PATTERN — not random variation. The SPC chart shows a sustained upward shift in TCP power rather than oscillation around the mean. Action taken: MONITOR. Engineering notified of recurring pattern.",No customer complaint raised for this event.,4
"NON-CONFORMANCE REPORT | Wafer 2937 | LOT_29B | CHB | 2024-03-04 | Recipe: METAL_ETCH_A_V3 | Operator: OP_SMITH

FAULT: BCl3 +5 — BCl3 Flow deviated +5 sccm above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 1744 (below normal mean). Endpoint mean: 1186.8. Pressure mean: 1190.6 mTorr — slightly elevated (above normal range), consistent with excess BCl3 contributing to total gas load. SCHEDULED_PM event during run (520 sec). Operator note: Recipe completed but something looked off.

METROLOGY:
Etch rate: 369.3 Å/min — 92.7 Å/min (20%) below baseline. Etch rate SUPPRESSION is the primary quality signature of BCl3 over-delivery: excess BCl3 forms a passivation layer that inhibits the etch reaction. CD bias: -15.80 nm (highly negative = severe CD narrowing from passivation). Uniformity: 7.04%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Passivation layer thickening confirmed. Etch rate suppressed to 369.3 Å/min — the lowest BCl3-related etch rate in this dataset. CD bias of -15.80 nm is an extreme outlier vs the normal range of ±3 nm. Passivation residue confirmed on 4 of 5 SEM inspection sites. Wafer disposition: SCRAP.

ROOT CAUSE RECORDED IN NCR:
BCl3 MFC over-delivery of +5 sccm. The BCl3 process has a natural variation of only ±0.5 sccm — a +5 sccm excursion is a 10-sigma event, indicating MFC failure not process noise. Most likely: (1) MFC valve calibration drift (zero-point offset); (2) valve seat wear causing over-delivery at commanded position; (3) gas panel back-pressure from blocked downstream filter. RF gen hrs: 987.80. PM: 20 wafers.

CORRECTIVE ACTION:
BCl3 MFC zero-point and span calibration check. Replace if accuracy >±1% FS. Gas line leak check. Wafer scrapped.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHB DEFECT HISTORY:

Prior faults on CHB: RF -12; Pr +3.  RF gen hrs: 987.80. PM: 20 wafers — current.","INSPECTION FINDINGS:

Result: FAIL. Etch rate 369.3 Å/min — 20% below baseline. CD bias -15.80 nm — extreme negative outlier indicating heavy passivation. This CD bias reading (-15.80 nm) is the most extreme value recorded in this dataset. Uniformity 7.04%. Passivation residue confirmed under SEM. Scrap disposition.","SPC FINDINGS:

Parameter: bcl3_flow (I-MR chart). Rule violated: Rule 4 (2/3 >2σ). Alert: RED. A +5 sccm deviation on a 0.5 sccm-std process = ~10σ excursion. MFC failure, not process drift. Action: HOLD LOT. BCl3 MFC replacement scheduled.",No customer complaint raised. Wafer scrapped internally.,2
"NON-CONFORMANCE REPORT | Wafer 2938 | LOT_29B | CHA | 2024-03-04 | Recipe: METAL_ETCH_A_V3 | Operator: OP_CHEN

FAULT: Pr -2 — Chamber Pressure deviated -2 mTorr below set-point.

WHAT WAS OBSERVED AT RUN TIME:
RECIPE_RELOAD event recorded (789 sec). Endpoint peak: 1836. Endpoint mean: 1243.9. Pressure mean: 1186.9 mTorr. Operator note: None.

METROLOGY:
Etch rate: not collected. Uniformity: not collected. Pass/Fail: PENDING..

DEFECTS IDENTIFIED:
Below-target pressure increases ion energy — faceting and mask erosion risks. The recipe reload event may have caused the pressure transient. Review recipe reload procedure for APC set-point restoration.

ROOT CAUSE RECORDED IN NCR:
Pressure -2 mTorr. Coincident recipe reload suggests APC set-point was not correctly restored after reload. Secondary: VAT valve over-opening.

CORRECTIVE ACTION:
Recipe reload procedure reviewed. APC set-point verified post-reload. No immediate hold required.

NCR STATUS: OPEN | SEVERITY: LOW","CHAMBER CHA DEFECT HISTORY:

Prior faults: TCP +50; RF +10; TCP +10. RF gen hrs: 1241.13. PM: 21 wafers — current.","INSPECTION FINDINGS:

Result: PENDING. Metrology not collected. Minor pressure deviation. Endpoint peak 1836. Faceting risk flagged.","SPC FINDINGS:

Parameter: pressure. Rule: Rule 3 (6 consecutive trend, low side). Alert: YELLOW. Recipe reload event coincides with deviation. Occurrence #2. Action: MONITOR.",No customer complaint raised.,5
"NON-CONFORMANCE REPORT | Wafer 2939 | LOT_29B | CHB | 2024-03-04 | Recipe: METAL_ETCH_A_V3 | Operator: OP_PATEL

FAULT: Cl2 -5 — Cl2 Flow deviated -5 sccm below set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 1753. Endpoint mean: 1189.9. Pressure: 1185.4 mTorr. Operator note: Alarm on chamber. Flagged for review.

METROLOGY:
Etch rate: not collected. CD bias: not collected. Uniformity: not collected. Pass/Fail: PENDING.. OEE: 0.0000.

DEFECTS IDENTIFIED:
Under-etch from insufficient Cl2. Aluminium residue expected on contact structures — without adequate Cl2, native oxide is not fully removed. Etch stop on two die confirmed. The operator flagged an alarm: 'Alarm on chamber. Flagged for review.' — suggesting the abnormality was visible in real time.

ROOT CAUSE RECORDED IN NCR:
Cl2 MFC under-delivery -5 sccm. Most likely: (1) partial valve obstruction from process byproduct deposition; (2) Cl2 supply pressure drop (cylinder depletion or regulator failure); (3) MFC thermal drift. RF gen hrs: 987.83. PM: 21 wafers.

CORRECTIVE ACTION:
Cl2 cylinder pressure checked. MFC calibrated. Regulator output verified.

NCR STATUS: OPEN | SEVERITY: MEDIUM","CHAMBER CHB DEFECT HISTORY:

Prior faults: RF -12; Pr +3; BCl3 +5.  RF gen hrs: 987.83. PM: 21 wafers — current.","INSPECTION FINDINGS:

Result: PENDING. Etch rate: not collected. Under-etch and aluminium residue expected. Endpoint peak 1753 suppressed.","SPC FINDINGS:

Parameter: cl2_flow. Rule: Rule 4, low side. Alert: YELLOW. First cl2_flow violation on this chamber. Action: MONITOR.",No customer complaint raised.,4
"NON-CONFORMANCE REPORT | Wafer 2940 | LOT_29B | CHA | 2024-03-04 | Recipe: METAL_ETCH_A_V3 | Operator: OP_NGUYEN | WO: WO-CHA-2940

FAULT: He Chuck — He Backside Cooling Pressure loss.

WHAT WAS OBSERVED AT RUN TIME:
Operator note: 'Operator noticed instability. Reported.' — operator confirmed visible instability in real time. Endpoint peak: 1776. Endpoint mean: 1199.6. Pressure mean: 1187.7 mTorr. RF phase std: 709.0.

METROLOGY:
Etch rate: 371.5 Å/min (-90.5 vs baseline). Without He backside cooling, the wafer overheats. Edge zones heat faster than centre, driving the etch rate non-uniformity. The reduced etch rate reflects the combined effect of thermal non-uniformity disrupting the etch chemistry. CD bias: +7.38 nm (positive = edge zones over-etched relative to centre). Uniformity: 18.66% — second-highest in this lot. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Thermal non-uniformity across wafer diameter. Edge die significantly hotter than centre due to loss of He cooling contact. Wafer bow detected. Edge hot-spot over-etch pattern confirmed on sampled die. Centre-to-edge temperature differential estimated at 15–20°C based on etch rate distribution.

ROOT CAUSE RECORDED IN NCR:
He backside cooling pressure loss. ESC (Electrostatic Chuck) He seal O-ring degradation is the most likely cause — seal failure allows He to bypass the wafer-chuck interface rather than maintaining pressure. Secondary: He supply flow controller failure. The sudden onset (no prior He pressure trend on SPC) is consistent with an acute seal breach rather than gradual wear. RF gen hrs: 1241.16. PM: 22 wafers.

CORRECTIVE ACTION:
STOP processing on CHA. ESC He seal inspected — O-ring replaced. He leak check performed at full set-point. ESC clamping voltage verified. WO: WO-CHA-2940.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHA DEFECT HISTORY:

Prior faults on CHA: TCP +50; RF +10; TCP +10; Pr -2. No prior He Chuck events recorded — this is an acute failure, not a recurring pattern. RF gen hrs: 1241.16. PM: 22 wafers — current. Open WO: WO-CHA-2940.","INSPECTION FINDINGS:

Result: FAIL. Etch rate 371.5 Å/min (-90.5). Thermal non-uniformity confirmed — etch rate varies across wafer radius. CD bias +7.38 nm (edge over-etch signature). Uniformity 18.66% — above 15% target. Wafer bow confirmed. SEM: REQUIRED on edge die.","SPC FINDINGS:

Parameter: he_press (He backside pressure). Rule: Rule 1 (>3σ below LCL). Alert: RED. First He pressure violation in the run history — acute failure event. Sudden onset with no prior drift is consistent with hardware failure (seal breach) rather than gradual degradation. Operator observed instability in real time. Action: STOP processing. Inspect ESC immediately.",No customer complaint raised. Lot held internally.,2
"NON-CONFORMANCE REPORT | Wafer 3120 | LOT_31B | CHA | 2024-03-25 | Recipe: METAL_ETCH_A_V3 | Operator: OP_CHEN | WO: WO-CHA-3120

FAULT: TCP +30 — TCP Top Power deviated +30W above set-point.

WHAT WAS OBSERVED AT RUN TIME:
Endpoint peak: 3464 counts — 84% above normal mean. Endpoint mean: 2324.1 (normal mean ~1,262). Elevated endpoint signal confirms higher-than-expected plasma activity consistent with TCP over-power. Pressure mean: 1189.4 mTorr. RF phase std: 1269.3. Operator note: None recorded.

METROLOGY:
Etch rate: 429.3 Å/min (-32.7 vs baseline 462). CD bias: 14.67 nm. Uniformity: 8.74%. Pass/Fail: FAIL. OEE: 0.0000.

DEFECTS IDENTIFIED:
Over-etch on metal layer. CD widening of approximately 2–3 nm on sampled die. Endpoint signal triggered earlier than expected — consistent with elevated etch rate from excess TCP power. Pattern collapse risk on narrow features.

ROOT CAUSE RECORDED IN NCR:
TCP generator power set-point drift of +30W. At this magnitude, probable causes are: (1) recipe version mismatch — chamber controller loaded an older recipe revision with a different TCP set-point; (2) TCP generator output stage partial calibration loss; (3) impedance matching drift after 1242 hours of generator operation. PM wafer count is 41 — OVERDUE, which increases drift risk.

CORRECTIVE ACTION:
Lot held. Recipe set-point verified against MES master. TCP generator calibration check performed. Impedance matching PM scheduled.

NCR STATUS: OPEN | SEVERITY: HIGH","CHAMBER CHA DEFECT HISTORY AT TIME OF THIS FAULT:

Prior faults on CHA (chronological): TCP +50; RF +10; TCP +10; Pr -2; He Chuck. RECURRING TCP POWER DEVIATION on this chamber. RF generator hours: 1241.69 hrs. PM OVERDUE: 41 wafers since last PM. Open WO: WO-CHA-3120.","INSPECTION FINDINGS:

Result: FAIL. Etch rate: 429.3 Å/min (-32.7 vs baseline). CD bias: 14.67 nm. Uniformity: 8.74% (Within target.) Endpoint peak 3464 elevated vs normal mean 1,879. Over-etch confirmed on sampled die. SEM review required.","SPC FINDINGS:

Parameter: tcp_top_pwr. Rule violated: Nelson Rule 1 (1 point >3σ UCL). Alert level: RED. +30W deviation on a 4.7W-std process = ~6-sigma excursion. SPC chart history on CHA shows a Rule 4 event (2/3 points >2σ) two lots prior, indicating gradual drift before this Rule 1 violation — pattern is consistent with progressive TCP generator degradation. Action taken: INVESTIGATE. Lot held.",No customer complaint raised. Lot held internally before shipment.,2
