sop_id,title,applies_to_sensor,applies_to_alert_type,severity_threshold,procedure_steps,safety_requirements,estimated_downtime_min,revision,approver
SOP-TCP-001,TCP Top Power Out-of-Range ANOMALY Response,tcp_top_pwr,ANOMALY,HIGH,"1. Do NOT abort the in-progress wafer — the STOP button only prevents additional wafers from loading; the current wafer will complete its step. 2. Note the exact tcp_top_pwr reading, step number, wafer ID, and lot ID. 3. If tcp_top_pwr > 360 W (above max): notify process engineer immediately via fab pager. Place current lot on HOLD. 4. If tcp_top_pwr < 334 W (below min): notify process engineer. Mark wafer for re-inspection before resist strip. 5. After wafer completes: do NOT load additional wafers. Press STOP to pause cassette loading. 6. Check RF generator hour counter on the Maintain/TCP page. If hours > 1200, initiate PM work order immediately. 7. Check recipe version loaded against the approved master recipe sheet. A version mismatch is the most common cause of a ±10 W offset. 8. Check cooling water flow indicator on the TCP generator panel. Low flow triggers power derating. 9. If deviation > 30 W or 3+ consecutive wafers affected: escalate to process engineer per SOP-ESC-001. 10. Log incident in the fab MES with sensor value, step, and lot ID before resuming production.",BCl3 and Cl2 process gases remain active during response — do NOT open chamber. Verify exhaust flow indicator is GREEN before approaching the tool. No LOCKOUT required while tool is in run state; LOCKOUT required only if chamber entry is needed.,45,Rev C,Senior Process Engineer
SOP-TCP-002,TCP Top Power TREND Response — Approaching Limit,tcp_top_pwr,TREND,MEDIUM,"1. Log trend alert with current tcp_top_pwr value, direction (rising/falling), step number, and estimated time to breach. 2. Pull RF generator hour counter from Maintain/TCP page. If hours > 1100, schedule PM within the current production shift. 3. Review the last 5 wafers for power drift pattern. If drift rate exceeds 5 W per wafer, treat as ANOMALY and escalate to SOP-TCP-001. 4. Check impedance matching network auto-tune log. Increasing tune frequency indicates generator degradation. 5. Notify process engineer of trend. Engineer will decide whether to continue lot or pull tool for PM. 6. If lot is continued: increase inspection sampling to 100% for wafers in this lot. 7. Document tcp_top_pwr trend values in the run log with timestamp for maintenance records.",Standard fab PPE required. No chamber entry. BCl3/Cl2 exhaust system must remain active throughout response.,15,Rev B,Senior Process Engineer
SOP-BCL3-001,BCl3 Flow Out-of-Range ANOMALY Response,bcl3_flow,ANOMALY,HIGH,"1. Do NOT open chamber. BCl3 (boron trichloride) is toxic and reacts violently with moisture — inhalation hazard even at ppm levels. 2. Check bcl3_flow reading: normal range is 740–765 sccm. 3. If flow > 765 sccm: excess BCl3 increases etch rate and may over-etch metal lines. Place lot on HOLD. Notify process engineer. 4. If flow < 740 sccm: insufficient BCl3 reduces oxide breakthrough; aluminum etch may stall. Stop cassette loading. 5. Check MFC setpoint on the gas panel screen — recipe may have loaded an incorrect set-point. Compare loaded recipe to approved master. 6. Check upstream BCl3 cylinder pressure at the gas cabinet. If pressure < 50 psi, cylinder is near empty. Switch to backup cylinder per gas changeover SOP. 7. If recipe and cylinder are correct, MFC recalibration is required. Log PM request for BCl3 MFC. Chamber must be taken offline for MFC swap. 8. Perform 200 pump/purge cycles on the main chamber page before any maintenance access.","BCl3 TLV-C: 1 ppm. Wear supplied-air respirator, chemical splash goggles, and acid/base gloves for any work near the gas cabinet. Confirm point-of-use toxic gas monitor (TGM) is active and showing GREEN before approaching. LOCKOUT/TAGOUT required before opening any gas line fittings.",120,Rev B,EHS and Senior Process Engineer
SOP-BCL3-002,BCl3 Flow TREND Response,bcl3_flow,TREND,MEDIUM,"1. Log trend alert: current bcl3_flow, direction, step, time to breach. Normal range 740–765 sccm. 2. Check BCl3 cylinder pressure. A steadily falling flow with fixed setpoint is a classic low-cylinder symptom. Schedule cylinder swap before pressure drops below 50 psi. 3. Review MFC calibration date in the PM log. If > 6 months since last calibration, request MFC verification. 4. If downward trend > 10 sccm over 3 consecutive wafers: escalate to ANOMALY response per SOP-BCL3-001. 5. Notify process engineer. Continue production if flow is within 5 sccm of lower limit with engineer approval only.",Standard fab PPE. BCl3 gas system is sealed during normal tool operation. Do not approach gas cabinet without confirming TGM is GREEN.,20,Rev A,Senior Process Engineer
SOP-CL2-001,Cl2 Flow Out-of-Range ANOMALY Response,cl2_flow,ANOMALY,HIGH,"1. Do NOT open chamber. Chlorine (Cl2) is a toxic oxidizer — TLV-TWA 0.5 ppm, IDLH 10 ppm. 2. Check cl2_flow reading: normal range is 748–758 sccm. 3. If flow is out of range in either direction: place lot on HOLD. Stop cassette loading. 4. Check loaded recipe set-point against approved master recipe. Recipe version mismatch is common after maintenance reloads. 5. Check Cl2 cylinder pressure at the gas cabinet VMB. If < 50 psi, cylinder changeover is required per gas changeover SOP. 6. If recipe and cylinder are correct: MFC fault suspected. Log MFC replacement request. Take chamber offline. 7. Before maintenance access: run 200 pump/purge cycles from Maintain/Main Chamber page. Verify chamber pressure at base (< 1×10⁻³ Pa) before venting. 8. After MFC replacement: run VAT valve Relearn Sequence (60 sccm Ar at 10 mTorr for VAT-64; 40 sccm Ar for VAT-65) before production restart.","Cl2 TLV-TWA: 0.5 ppm, OSHA PEL: 1 ppm. Full-face respirator (SCBA or supplied air), chemical splash goggles, and PVC or neoprene gloves required for gas cabinet work. Confirm Cl2 toxic gas monitor at fab exhaust is active and alarming GREEN. Emergency: evacuate area, call EHS emergency line, do not re-enter until TGM reads < 0.5 ppm.",120,Rev B,EHS and Senior Process Engineer
SOP-CL2-002,Cl2 Flow TREND Response,cl2_flow,TREND,MEDIUM,"1. Log trend: current cl2_flow, direction, step, time to breach. Normal range 748–758 sccm. 2. Cl2 range is narrow (10 sccm). Any drift trend must be treated seriously — escalate to ANOMALY response per SOP-CL2-001 if drift rate exceeds 3 sccm over 2 wafers. 3. Check Cl2 cylinder pressure. 4. Review MFC calibration date. Cl2-MFC drift is a documented failure mode on the LAM 9600 TCP; long-term production data shows this as a leading cause of out-of-spec etch. 5. Notify process engineer. Do not continue production without engineer approval if flow is within 2 sccm of either limit.",Standard fab PPE. Confirm Cl2 TGM is GREEN before approaching tool.,15,Rev A,Senior Process Engineer
SOP-PRES-001,Chamber Pressure Out-of-Range ANOMALY Response,pressure,ANOMALY,HIGH,"1. Check pressure reading: normal range 942–1420 mTorr. 2. If pressure > 1420 mTorr: high pressure increases ion scattering and reduces directionality. Place lot on HOLD. Check throttle valve position on Maintain/Pressure page. 3. If pressure < 942 mTorr: low pressure may cause plasma instability and arc faults. Stop cassette loading. Check for abnormal pump speed or gas flow drop. 4. Verify BCl3 and Cl2 flows are within normal range — pressure is directly coupled to gas flow. If flows are off, resolve gas fault first. 5. Check turbomolecular pump status LED and rpm. TMP rated at 1000 l/s; below-spec pump speed will cause high-pressure condition. 6. If throttle valve is suspected: check VAT valve position on the Maintain/Main Chamber page. Run VAT Relearn if position feedback is erratic. 7. Check for chamber leak: run a timed leak-rate test (vent load locks, close all valves, monitor CDG reading over 5 min). If leak rate > spec, identify and repair leak before resuming. 8. Escalate to process engineer if root cause not identified within 30 minutes.",BCl3/Cl2 gas system remains pressurized during response. No chamber entry. Exhaust flow must remain active. LOCKOUT required before any vacuum pump or valve work.,60,Rev B,Senior Process Engineer
SOP-PRES-002,Chamber Pressure TREND Response,pressure,TREND,MEDIUM,"1. Log trend: current pressure, direction, step, time to breach. Normal range 942–1420 mTorr. 2. If pressure is trending upward: check BCl3 and Cl2 flows for concurrent upward trends. Correlated gas+pressure rise indicates MFC or recipe issue. 3. If pressure trending upward with normal gas flows: throttle valve drift or TMP degradation suspected. Schedule PM inspection. 4. If pressure trending downward: check for increased pump speed or small gas flow reduction. Confirm CDG calibration is current. 5. Notify process engineer if time-to-breach < 3 wafers.",Standard fab PPE. Exhaust system must remain active.,20,Rev A,Senior Process Engineer
SOP-RF-001,RF Bottom Power Out-of-Range ANOMALY Response,rf_btm_pwr,ANOMALY,HIGH,"1. Check rf_btm_pwr reading: normal range 124–142 W. Bottom RF is capacitively coupled at 13.56 MHz; it controls ion energy (etch directionality) independently of TCP top power. 2. If rf_btm_pwr > 142 W: excess ion energy may cause photoresist erosion and sidewall damage. Place lot on HOLD. 3. If rf_btm_pwr < 124 W: insufficient bias may reduce etch directionality and cause footing. Stop cassette loading. 4. Check recipe set-point on the bottom RF generator page. A recipe version mismatch often explains a step-function power offset. 5. Check RF match unit status (auto-tune indicator). If the match unit is hunting (frequent re-tune), the RF cable or match network has a fault. 6. Check bottom RF generator hour counter. Replace or service at 1200 hours. 7. If match unit is confirmed faulty: take chamber offline. Bottom RF match unit replacement requires LOCKOUT and qualified RF technician.",RF radiation hazard: do NOT operate with RF cable disconnected or shielding removed. Standard fab PPE for response. LOCKOUT required for any RF hardware access. BCl3/Cl2 exhaust must remain active.,90,Rev B,Senior Process Engineer
SOP-RF-002,RF Bottom Power TREND Response,rf_btm_pwr,TREND,MEDIUM,"1. Log trend: current rf_btm_pwr, direction, step, time to breach. Normal range 124–142 W. 2. Check RF generator hour counter. If > 1100 hours, schedule PM. 3. Review RF match unit auto-tune log for increased tuning frequency (early sign of network degradation). 4. If drift > 5 W over 3 wafers: escalate to ANOMALY response per SOP-RF-001. 5. Notify process engineer. Continue with increased sampling if within 3 W of limit with engineer approval.",Standard fab PPE. RF shielding must remain intact.,15,Rev A,Senior Process Engineer
