doc_id,equipment_name,section_title,content,related_sensors,keywords
MAN-TCP-001,TCP RF Generator,TCP RF Generator — Operating Range and PM Interval,"The LAM Research 9600 TCP (Transformer Coupled Plasma) system uses an inductive RF generator operating at 13.56 MHz, coupled through an impedance matching network to a planar pancake coil on a dielectric window above the process chamber. Rated power output is up to 600 W. Normal process operating range for aluminum etch is 334–360 W. The generator is capable of independent control of ion density (via TCP top power) separate from ion energy (via bottom RF bias). Chamber dimensions: approximately 36 cm diameter; wafers are positioned 5.5 cm below the dielectric window. PM interval: TCP generator should be serviced at 1200 PC RF Hours. PC RF Hours are tracked on the Maintain/TCP page and must be logged on every wet clean record sheet. At the 1200-hour interval, perform full PM including match network inspection, coil connection check, and cooling water flow verification. DSQ RF Hours are tracked separately; DSQ TCP Window O-ring replacement is required when DSQ RF hours exceed 70.",tcp_top_pwr,"TCP, RF generator, 13.56 MHz, pancake coil, impedance matching, 600 W, PM interval, RF hours, dielectric window"
MAN-TCP-002,TCP RF Generator — Impedance Matching Network,"Impedance Matching Network — Function, Failure Modes, Replacement",The impedance matching network (match unit) connects the RF generator to the pancake coil and minimizes reflected power. It uses variable capacitors and an auto-tune algorithm to maintain minimum reflected power during plasma operation. Normal operation: reflected power < 5% of forward power; auto-tune events < 2 per wafer. Failure indicators: auto-tune frequency > 5 per wafer; reflected power > 8% of forward power; TCP power instability (hunting); arc detection events in the RF fault log. Common failure modes: capacitor degradation from thermal cycling; contamination on RF feed-through contacts; capacitor drive motor failure. Replacement procedure: TCP tool must be in LOCKOUT/TAGOUT state. Qualified RF technician required. After replacement: re-tune match network with a calibration wafer run before returning to production.,tcp_top_pwr,"impedance matching, match unit, reflected power, auto-tune, capacitor, RF feed-through, arc detection"
MAN-TCP-003,TCP RF Generator — Cooling Water,Cooling Water Requirements and Fault Indicators,"The TCP RF generator requires continuous cooling water flow to prevent thermal derating. Cooling water supply: facility DI water at 20–25°C, minimum flow rate as specified on the tool utility sheet. The generator includes a thermal protection circuit: if cooling water flow drops below the minimum threshold, the generator automatically reduces output power (derating). This condition causes the TCP top power to fall below setpoint and may trigger a LOW power anomaly even when the recipe setpoint is correct. Fault indicators: generator front panel cooling fault LED; tcp_top_pwr below setpoint with no recipe error. Response: notify facilities. Do not attempt to defeat the thermal protection circuit. The system status LED on the tool controller will show YELLOW (run fault) for a cooling fault.",tcp_top_pwr,"cooling water, thermal derating, DI water, flow rate, thermal protection, cooling fault"
MAN-RF-001,RF Bottom Power System,RF Bottom Power — Operating Range and Bias Control,"The LAM 9600 TCP uses a bottom electrode (15 cm diameter) for capacitively coupled RF bias at 13.56 MHz. Normal operating range: 124–142 W. The bottom RF power independently controls ion energy (and thus etch directionality) without affecting plasma density (controlled by TCP top power). This independent control is a key feature of the TCP design: TCP top power sets ion density; bottom RF sets ion energy. The bottom RF is coupled through its own impedance matching network and RF cable to the electrostatic chuck (ESC). Operating the tool outside the 124–142 W range risks: photoresist erosion (if too high), or etch footing and loss of directionality (if too low). Al non-uniformity specification: ±15% (requires both TCP and RF bottom power to be within spec).",rf_btm_pwr,"bottom RF, bias, 124-142 W, capacitive coupling, ion energy, ESC, electrostatic chuck, directionality"
MAN-RF-002,RF Bottom Power System,RF Bottom Generator Hour Tracking and PM Schedule,"The bottom RF generator has its own hour counter, separate from the TCP generator PC RF Hours counter. PM interval: service at 1200 RF hours. Log RF hours for both TCP and bottom generators on each wet clean record sheet. At the PM interval: inspect the bottom RF match unit for capacitor condition and contact cleanliness; inspect the RF cable from generator to match unit for insulation condition and bend radius compliance; inspect the RF feed-through at the chamber. Replace bottom RF match unit if reflected power trend has been > 5% over the prior 100 wafers. After match unit replacement: qualified RF technician must re-tune to < 2% reflected power before production restart.",rf_btm_pwr,"RF hours, bottom RF PM, match unit, RF cable, feed-through, reflected power"
MAN-BCL3-001,BCl3 Gas Delivery System,BCl3 MFC Operating Range and Calibration,"Boron trichloride (BCl3) is the primary etchant for native aluminum oxide and serves as a co-etchant with Cl2 for the aluminum main etch. Normal process flow range: 740–765 sccm. BCl3 MFC setpoint is controlled by the recipe. MFC calibration interval: every 6 months, or after any gas line maintenance event. Calibration uses N2 surrogate gas with a correction factor for BCl3 density. Upstream delivery pressure at MFC inlet: 20–30 psi. If pressure drops below 20 psi, MFC will be unable to reach setpoint. BCl3 cylinder change-out threshold: change cylinder when pressure reaches 100 psi to avoid near-empty low-flow faults. BCl3 line filter: replace annually. Partial blockage increases pressure drop across filter and causes low-flow faults even with sufficient cylinder pressure.",bcl3_flow,"BCl3, boron trichloride, MFC, 740-765 sccm, calibration, delivery pressure, cylinder change, line filter"
MAN-BCL3-002,BCl3 Gas Delivery System,"BCl3 Gas Safety — Properties, Toxicity, and Handling","Boron trichloride (BCl3) is a colorless, fuming, toxic gas. TLV-C (ceiling): 1 ppm. IDLH: not established; treat as highly toxic. BCl3 reacts violently with atmospheric moisture to form hydrochloric acid (HCl) and boric acid — this reaction is exothermic and can generate fumes upon any air exposure. BCl3 is classified as a corrosive gas. All exposed metal surfaces in the delivery system must be 316L stainless steel or hastelloy. PPE for gas cabinet work: supplied-air respirator (SCBA preferred), chemical splash goggles, acid/base-resistant gloves (butyl or neoprene), full-length lab coat or acid suit. Storage: BCl3 cylinders must be stored upright, secured, in a gas cabinet with continuous exhaust. Emergency: if TGM alarm activates, evacuate area immediately. Do not use water to suppress BCl3 — water reaction generates HCl fumes. Spill response: use dry neutralizing agent. Contact EHS emergency line.",bcl3_flow,"BCl3, boron trichloride, TLV-C, 1 ppm, toxic, corrosive, HCl, moisture reaction, PPE, SCBA, gas cabinet"
MAN-CL2-001,Cl2 Gas Delivery System,Cl2 MFC Operating Range and Calibration,"Chlorine (Cl2) is the main aluminum etch gas in the BCl3/Cl2 process chemistry. Normal process flow range: 748–758 sccm. This is a narrow 10 sccm control window — any MFC drift will quickly cause an out-of-spec condition. Cl2-MFC drift is a documented, recurring failure mode on the LAM 9600 TCP: long-term production data (77-lot study, Siemens/Lam 1998) identified Cl2-MFC drift as a leading source of process excursions. Drift appears as a slow, gradual flow reduction over 20–60 wafers. MFC calibration interval: every 6 months. Cl2 MFC must be calibrated with N2 surrogate gas with appropriate density correction factor. Upstream delivery pressure at MFC inlet: 20–30 psi. Cylinder change-out threshold: 100 psi. After any Cl2 MFC replacement: run VAT Relearn Sequence before production restart.",cl2_flow,"Cl2, chlorine, MFC, 748-758 sccm, drift, calibration, cylinder pressure, VAT relearn"
MAN-CL2-002,Cl2 Gas Delivery System,"Cl2 Gas Safety — Properties, Toxicity, PPE, and Emergency Response","Chlorine (Cl2) is a greenish-yellow, pungent gas classified as a toxic oxidizer. TLV-TWA: 0.5 ppm. OSHA PEL: 1 ppm. IDLH: 10 ppm. Health effects: severe respiratory irritant; high concentrations cause pulmonary edema and can be fatal. Even brief exposure above 5 ppm can cause serious lung injury. Cl2 is an oxidizer — keep away from flammable materials, organic solvents, and reducing agents. PPE for gas cabinet work: full-face supplied-air respirator (SCBA preferred), chemical splash goggles, PVC or neoprene gloves, chemical-resistant full-body suit. Storage: Cl2 cylinders must be stored in a dedicated gas cabinet with continuous exhaust ventilation. Cylinders must be secured upright. Toxic gas monitor (TGM): a Cl2 TGM sensor must be active and calibrated at the tool exhaust point. Alarm setpoint: 0.5 ppm (TLV-TWA). Emergency evacuation: at TGM alarm, immediately evacuate bay. Pull fire alarm pull station if TGM reads > 2 ppm. Do not re-enter until TGM reads < 0.5 ppm and EHS has cleared the area. Call EHS emergency line. Cl2 is water-soluble — emergency shower/eyewash must be available within 10 seconds of gas cabinet location.",cl2_flow,"Cl2, chlorine, TLV-TWA, 0.5 ppm, oxidizer, IDLH, TGM, toxic gas monitor, SCBA, PPE, emergency evacuation"
MAN-PRES-001,Chamber Pressure Control System,"Throttle Valve, Operating Range, and Pressure Control Loop",Chamber pressure is controlled by a VAT throttle valve (VAT-64) modulated by a closed-loop pressure controller using feedback from a capacitance diaphragm gauge (CDG). Normal process operating range: 942–1420 mTorr. Pressure in this range ensures stable plasma formation and correct ion scattering characteristics for Al etch. The turbomolecular pump (1000 l/s) maintains base pressure at 1.3×10⁻³ Pa when no gas is flowing. Process operating pressure is approximately 1 Pa (~7.5 mTorr) at the chamber center; the control CDG reads process-step pressure in mTorr. VAT valve Relearn Sequence must be performed after any power-down or maintenance event: VAT-64: run with 60 sccm Ar at 10 mTorr; VAT-65: run with 40 sccm Ar. Relearn teaches the controller the valve's actual physical position range. CDG pressure calibration: verify annually. A drifted CDG will give false pressure readings and cause the controller to compensate incorrectly.,pressure,"pressure, VAT valve, throttle valve, CDG, capacitance diaphragm gauge, 942-1420 mTorr, turbomolecular pump, VAT relearn, pressure controller"
