WO_number,chamber_id,equipment_component,fault_type,fault_date,linked_wafer_id,linked_lot_id,linked_ncr,fault_description,root_cause,work_description,resolution,parts_used,technician,time_to_repair_hrs,WO_status,downtime_hours
WO-CHA-2915,CHA,TCP Generator,TCP_POWER_DEVIATION,2024-03-04,2915,LOT_29B,NCR-CHA-2915,"TCP Top Power deviated +50W above set-point on wafer 2915 (410W measured vs 360W max). Acute step-change detected at timestep 47, not gradual drift. RF generator hours at fault: 1241.04. Lot LOT_29B held pending investigation.",TCP generator impedance matching network failure after >1240 hrs continuous operation. Capacitor bank bench-tested at 68% nominal capacitance. Step-change characteristic confirms partial capacitor bank failure rather than progressive drift.,Isolated TCP generator. Replaced capacitor bank assembly P/N IMP-CAP-7730. Replaced O-ring kit TCP-SEAL-O42. Recalibrated TCP power set-point at 350W. Ran 3 qualification wafers before returning chamber to production.,CLOSED — TCP power stable within +/-1.5W post-repair. Three qualification wafers passed CD and uniformity specs. Recommended TCP power monitoring every 5 wafers for 2 weeks.,IMP-CAP-7730 qty 1; TCP-SEAL-O42 qty 1,TECH_YAMAMOTO,4.5,CLOSED,6.0
WO-CHA-2917,CHA,RF Generator,RF_POWER_DEVIATION,2024-03-04,2917,LOT_29B,NCR-CHA-2917,"RF Bottom Power deviated +10W above set-point on wafer 2917 (152W measured vs 142W max). Deviation mid-etch at step 3, returned to normal by step 5 without intervention. RF Phase Error elevated at 890 counts (normal <600).","Transient RF impedance mismatch from plasma ignition instability at low-pressure regime (945 mTorr). RF matching network tuner overcorrected on re-ignition, causing brief +10W overshoot. No component failure — classified as plasma re-ignition transient.",Inspected RF generator and matching network — no component failure found. Verified RF cable connections and interlock wiring. Adjusted RF tuner response algorithm to reduce overshoot on plasma re-ignition events. Ran 2 qualification wafers at boundary pressure conditions.,CLOSED — RF power stable within +/-2W after tuner parameter adjustment. Qualification wafers passed at low-pressure conditions. Recommended monitoring RF Phase Error on subsequent LOT_29B wafers.,NONE,TECH_PARK,2.5,CLOSED,2.5
WO-CHA-2936,CHA,TCP Generator,TCP_POWER_DEVIATION,2024-03-04,2936,LOT_29B,NCR-CHA-2936,TCP Top Power deviated +10W above set-point on wafer 2936 (370W measured vs 360W max). Minor deviation 14 wafers after WO-CHA-2915 capacitor bank replacement. Gradual drift suggesting incomplete resolution of WO-CHA-2915 root cause.,Residual impedance drift following capacitor bank replacement on WO-CHA-2915. Replacement capacitor bank required additional burn-in stabilization. TCP power set-point recalibration carried a minor +8W offset that accumulated over subsequent wafers.,Re-inspected TCP generator impedance matching network. Found TCP power set-point drifted +8W from post-repair baseline. Recalibrated TCP power reference. Verified connector torque on all impedance network joints. Ran 1 qualification wafer.,CLOSED — TCP power recalibrated to 350W set-point. Post-repair drift resolved. No further deviations on remaining LOT_29B wafers. Recommended reducing wet clean PM interval given cumulative process drift.,NONE,TECH_YAMAMOTO,1.5,CLOSED,1.5
WO-CHA-2940,CHA,ESC He Circuit,HE_BACKSIDE_PRESSURE_LOSS,2024-03-04,2940,LOT_29B,NCR-CHA-2940,"He Backside Cooling Pressure dropped to 85 Torr on wafer 2940 (threshold 90 Torr). Wafer lift-off from chuck detected during etch, causing incomplete etch and wafer loss. Chamber shut down immediately on endpoint anomaly.",ESC He feed-through O-ring seal degraded after 2147 cumulative thermal cycles (rated for 2000 cycles). Progressive seal compression set created He leak path at inner seal interface. Seal P/N ESC-SEAL-HE9 confirmed failed on bench inspection.,"Vented chamber to atmosphere. Removed ESC He feed-through assembly. Replaced He feed-through O-ring seal P/N ESC-SEAL-HE9. He circuit leak-checked to 1e-9 Torr-L/s with mass spectrometer. Reinstalled ESC, performed 50 thermal cycles, ran 2 He pressure qualification wafers.",CLOSED — He backside pressure stable at 95 Torr (nominal). Leak test passed. 50-cycle qualification completed without pressure deviation. Reset thermal cycle counter. Recommend seal inspection at 1800 cycles going forward.,ESC-SEAL-HE9 qty 2; ESC-GREASE-07 qty 1,TECH_CHEN,6.0,CLOSED,8.0
WO-CHA-3120,CHA,TCP Generator,TCP_POWER_DEVIATION,2024-03-25,3120,LOT_31B,NCR-CHA-3120,TCP Top Power deviated +30W on wafer 3120 (380W measured vs 360W max). Third TCP deviation on CHA in 21 days following WO-CHA-2915 and WO-CHA-2936. RF generator hours: 1241.73. RF power supply board ripple measured at 2.1% vs 1.0% maximum specification.,TCP generator RF power supply board (PSB) aging — output ripple increased from 0.8% to 2.1% at 350W set-point. PSB degradation causing TCP power instability under plasma load transitions. Distinct from WO-CHA-2915 capacitor bank failure: this is PSB-level aging unresolved by prior repair.,Ran extended TCP generator diagnostic. Confirmed PSB ripple out of spec. Replaced TCP generator power supply board P/N TCP-PSB-3300. Recalibrated full TCP power chain. Ran 5 qualification wafers across recipe power range 300-380W.,CLOSED — TCP power stable within +/-1W across full recipe range. PSB ripple at 0.6% post-repair. Recommend full TCP generator inspection at next scheduled Full PM given recurrence pattern.,TCP-PSB-3300 qty 1; TCP-SEAL-O42 qty 1,TECH_YAMAMOTO,5.0,CLOSED,7.0
WO-CHA-3122,CHA,RF Generator,RF_POWER_DEVIATION,2024-03-25,3122,LOT_31B,NCR-CHA-3122,"RF Bottom Power deviated +8W on wafer 3122 (150W measured vs 142W max). Second RF deviation on CHA in 21 days following WO-CHA-2917. RF Phase Error std dev 890 counts vs normal <600 counts, indicating RF matching instability.",RF matching network capacitor C2 drifted to 92% nominal capacitance (below 95% spec). Tuner compensation masking fault under normal conditions but unable to compensate at off-nominal plasma impedance edge conditions. Progressive component drift distinct from WO-CHA-2917 ignition transient.,Removed RF matching network. Bench-tested all capacitors — found C2 at 92% nominal. Replaced RF matching network capacitor board P/N RF-MATCH-CAP-BD. Reinstalled and retuned matching network. Ran 3 qualification wafers including edge-condition recipe.,CLOSED — RF power stable within +/-1.5W including edge pressure conditions. RF Phase Error std dev reduced to 420 counts. Recommended reducing RF matching capacitor board replacement interval from 18 to 12 months.,RF-MATCH-CAP-BD qty 1,TECH_PARK,3.5,CLOSED,4.5
WO-CHA-3341,CHA,TCP Generator,TCP_POWER_DEVIATION,2024-04-15,3341,LOT_33B,NCR-CHA-3341,"TCP Top Power deviated +20W on wafer 3341 (370W vs 360W max). Fourth TCP deviation on CHA since 2024-03-04. Wet clean PM overdue by 8 wafers (count 43, interval 35). TCP power meter calibration overdue by 10 days at fault date.","Compound root cause: (1) TCP power meter calibration drift (+18W offset at 350W set-point confirmed on recalibration) allowed control loop to accept offset as in-spec; (2) chamber wall polymer deposition from overdue wet clean raised plasma impedance, requiring higher TCP power to maintain etch rate.",Performed emergency wet clean (8 wafers overdue). Recalibrated TCP power meter — confirmed +18W offset at 350W set-point. Ran full TCP power calibration sequence. Verified chamber cleanliness with particle count <5 per wafer. Ran 3 qualification wafers.,CLOSED — TCP power stable within +/-1.5W after calibration and wet clean. Particle count passed. Recommend TCP power meter calibration interval reduced to 60 days and strict 35-wafer wet clean interval enforcement.,WC-CHEM-001 qty 1,TECH_YAMAMOTO,4.0,CLOSED,5.5
WO-CHA-2801,CHA,TCP Generator,TCP_POWER_DEVIATION,2024-02-12,2801,LOT_28A,NCR-CHA-2801,TCP Top Power drifted +18W over 22 wafers on LOT_28A (368W measured vs 360W max). Gradual drift detected by SPC trend alert. RF generator hours: 1238.5 at fault. Minor process shift observed in endpoint peak values.,Incremental TCP power set-point drift from early-stage capacitor bank degradation beginning at ~1235 RF generator hours. Drift rate of ~0.8W per wafer consistent with capacitor aging prior to acute failure mode seen on WO-CHA-2915.,Recalibrated TCP power set-point — found 16W offset at 350W. Inspected impedance matching network; capacitor bank still within spec at 81% nominal capacitance. Applied calibration correction. Flagged capacitor bank for replacement at next PM cycle.,CLOSED — TCP power drift corrected by calibration. Capacitor bank flagged for WO-CHA-2915 replacement. LOT_28A wafers released after quality review confirmed no metrology impact.,NONE,TECH_YAMAMOTO,1.0,CLOSED,1.5
WO-CHA-2750,CHA,TCP Generator,TCP_POWER_DEVIATION,2024-01-28,2750,LOT_27B,NCR-CHA-2750,TCP Top Power stepped down -25W on wafer 2750 during step 4 (325W measured vs 334W min). Acute loss of TCP power mid-etch at 1221 RF generator hours. Etch stopped 60% complete. Wet clean was 12 wafers overdue at time of fault.,TCP coil surface contamination (polymer accumulation from overdue wet clean) caused localized arcing event at high-power set-point. Arcing damaged coil surface coating at one segment. Overdue wet clean (12 wafers past interval) directly contributed to polymer bridging enabling arc path.,Inspected TCP coil assembly — identified arc damage on coil segment 3. Cleaned all coil surfaces with IPA and coil cleaning compound. Replaced TCP coil insulator P/N TCP-COIL-INS-7. Performed chamber wet clean. Recalibrated TCP power after coil reinstallation.,CLOSED — TCP power stable post-repair. Strict enforcement of 35-wafer wet clean interval implemented following this event. Wet clean overdue was direct contributing factor.,TCP-COIL-INS-7 qty 1; WC-CHEM-001 qty 1,TECH_YAMAMOTO,5.5,CLOSED,7.0
WO-CHA-2710,CHA,RF Generator,RF_POWER_DEVIATION,2024-01-10,2710,LOT_27A,NCR-CHA-2710,RF Bottom Power oscillated +/-15W around set-point for 12 consecutive wafers on LOT_27A. RF Phase Error std dev exceeded 1200 counts. Oscillation pattern consistent with RF matching network instability rather than RF generator output failure.,RF matching network capacitor board showing multiple capacitors at 88-93% nominal capacitance — board at end of service life. Collective degradation caused resonance frequency shift and hunting behavior in the auto-match algorithm.,Replaced RF matching network capacitor board P/N RF-MATCH-CAP-BD. Retuned matching network to new capacitor nominal values. Ran 5 qualification wafers with RF Phase Error monitoring. Confirmed oscillation eliminated.,CLOSED — RF power stable within +/-1W after capacitor board replacement. RF Phase Error std dev normalized to 380 counts. Established 12-month replacement interval for RF matching capacitor board on CHA.,RF-MATCH-CAP-BD qty 1,TECH_PARK,3.0,CLOSED,4.0
