incident_id,wafer_id,lot_id,chamber_id,sensor,fault_summary,root_cause_confirmed,resolution_steps_taken,time_to_resolve_hrs,outcome,recurrence_within_30_days,lessons_learned
INC-2915-001,2915,LOT_29B,CHA,tcp_top_pwr,"TCP Top Power +50 W above setpoint (410 W actual vs 360 W max), CRITICAL, Step 3","RF generator impedance matching network capacitor failure at 1241 PC RF hours. Matching network unable to minimize reflected power; generator operated at elevated output to compensate, driving TCP power above setpoint.",1. Chamber taken offline immediately. STOP pressed; current wafer completed step 3. 2. Lot LOT_29B placed on HOLD; QA notified. 3. 200 pump/purge cycles run before chamber access. LOCKOUT applied. 4. TCP RF match network removed and inspected — failed capacitor identified. 5. Match network replaced with spare unit. RF cable inspected; no damage found. 6. Chamber returned to atmosphere; reassembled. 7. 50 conditioning wafers run. Endpoint detectors calibrated. 8. TCP power verified stable at 347 W (within 334–360 W range) over 10 monitor wafers.,5.5,PASS — 3 qualification wafers run post-repair; all within spec. Wafer 2915 scrapped (over-etch confirmed by QA).,No,PM interval for match network reduced to 1200 hours (from 1400). Add reflected power trend check to daily monitoring sheet.
INC-2936-001,2936,LOT_29D,CHA,tcp_top_pwr,"TCP Top Power +10 W above setpoint (370 W actual vs 360 W max), HIGH, Step 3","Recipe version mismatch — maintenance team had reloaded TCP setpoint recipe from backup after a system reboot, but loaded revision Rev D instead of approved Rev F. Rev D had a TCP setpoint of 370 W; approved Rev F setpoint is 347 W.",1. Process engineer reviewed recipe version on tool controller — identified Rev D loaded. 2. Correct recipe (Rev F) reloaded from the approved recipe archive. 3. 3 monitor wafers run to verify TCP power at 347 W. 4. Recipe version management procedure updated: all recipe reloads now require process engineer signature before production restart.,1.5,PASS — TCP power confirmed at 347 W. Wafer 2936 sent to QA inspection; minor over-etch noted but within customer spec tolerance.,No,Recipe version must be logged on wet clean record and verified after every maintenance event that touches the tool controller.
INC-3120-001,3120,LOT_31C,CHA,tcp_top_pwr,"TCP Top Power +30 W above setpoint (377 W actual), HIGH; PM overdue by 160 RF hours",TCP RF generator output drift at 1360 PC RF hours (PM threshold 1200 hours). Impedance matching network showed increased auto-tune frequency over preceding 40 wafers (not flagged in shift log). Generator output elevated as internal components aged.,"1. Full PM performed: wet clean, O-ring replacement, TCP generator service. 2. VAT motor housing seals (Size 329), Nupro valve stem tips, DSQ O-rings replaced. 3. Inner Door O-rings (#205756) and End Point Window O-ring (Size 160) replaced. 4. TCP Window O-ring replaced (DSQ RF hours were 78, threshold is 70). 5. 50 conditioning wafers run. Endpoint calibrated. 6. VAT Relearn Sequence performed after power-up (VAT-64 at 60 sccm Ar / 10 mTorr; VAT-65 at 40 sccm Ar).",14.0,"PASS — TCP power at 344 W post-PM. Lot LOT_31C: 2 wafers scrapped, remainder re-inspected and passed.",No,PM alarm must trigger at 1200 RF hours without exception. Auto-tune frequency must be added to the daily SPC monitoring chart as a leading indicator of generator health.
INC-3142-001,3142,LOT_31E,CHA,pressure,"Chamber pressure trending high toward 1420 mTorr limit (1380 mTorr actual, TREND, Step 2)","Throttle valve (VAT-64) actuator position drift — valve feedback sensor was returning position values 12% higher than actual position, causing the pressure controller to under-compensate. Root cause was mechanical wear in the VAT actuator assembly.",1. Trend detected 2 wafers before breach; lot paused. 2. VAT valve position feedback confirmed erratic on Maintain/Main Chamber page. 3. VAT Relearn Sequence run per procedure (60 sccm Ar at 10 mTorr for VAT-64). 4. Relearn did not resolve issue — actuator position error persisted. 5. Chamber taken offline. VAT-64 actuator assembly inspected and replaced. 6. VAT Relearn repeated post-replacement. Pressure verified at 1180 mTorr (within 942–1420 range). 7. 3 monitor wafers run to verify stability.,6.0,PASS — Pressure stable at 1180 mTorr after VAT actuator replacement. Wafer 3142 re-inspected; etch depth within spec.,No,VAT actuator position feedback should be checked during quarterly PM. Add VAT position error to the wet clean record sheet.
INC-2918-001,2918,LOT_29A,CHA,pressure,"Chamber pressure trending high (1400 mTorr, TREND toward 1420 mTorr limit, Step 2)","Turbomolecular pump speed running 8% below nominal. TMP controller fault caused speed under-run; effective pumping rate reduced from 1000 l/s to approximately 920 l/s, raising process pressure above expected setpoint.",1. TMP speed and status confirmed below nominal. Facilities notified. 2. Lot paused. Pressure held near 1400 mTorr but did not breach. 3. TMP controller reset; speed returned to nominal. 4. Pressure confirmed stable at 1210 mTorr. Lot resumed with process engineer approval. 5. TMP maintenance work order opened for controller inspection.,2.0,PASS — Wafer 2918 passed QA inspection. Pressure within spec for remainder of lot.,Yes — TMP speed fault recurred 18 days later; TMP controller replaced.,TMP speed should be logged on every PM wet clean record. A TMP running at < 5% under nominal may not trigger an alarm but will bias pressure high.
INC-2915-002,2915,LOT_29B,CHA,bcl3_flow,"BCl3 flow elevated to 778 sccm (above 765 sccm max), HIGH, Step 2",BCl3 MFC upstream regulator had drifted to 38 psi delivery pressure (spec: 20–30 psi). Elevated inlet pressure caused MFC to overshoot flow setpoint.,1. BCl3 MFC setpoint and recipe confirmed correct — recipe was not the issue. 2. Upstream BCl3 regulator pressure measured at 38 psi. 3. Regulator adjusted back to 25 psi. BCl3 flow returned to 752 sccm. 4. 3 monitor wafers run to verify flow stability.,1.0,PASS — BCl3 flow stable at 752 sccm. Wafer 2915 scrapped (same lot as INC-2915-001; lot was already on HOLD).,No,BCl3 upstream regulator pressure should be logged monthly. Add to PM checklist.
INC-2936-002,2936,LOT_29D,CHA,bcl3_flow,"BCl3 flow low at 728 sccm (below 740 sccm min), MEDIUM, Step 1",BCl3 cylinder pressure had dropped to 42 psi — below the 50 psi threshold at which delivery pressure to the MFC becomes insufficient. MFC was at 98% valve open and could not reach setpoint.,1. BCl3 cylinder pressure confirmed at 42 psi at gas cabinet. 2. Cylinder change performed per gas changeover SOP. 3. BCl3 flow confirmed at 751 sccm after cylinder change. 4. Production resumed with process engineer approval.,0.75,PASS — Flow within spec after cylinder change. Wafer 2936 run again on next available slot.,No,"BCl3 cylinder should be changed at 100 psi, not waited until near-empty. Update gas management procedure to add 100 psi change-out threshold."
INC-3120-002,3120,LOT_31C,CHA,rf_btm_pwr,"RF Bottom Power low at 119 W (below 124 W min), HIGH, Step 3","RF bottom match unit capacitor value had drifted out of nominal range, increasing reflected power and causing generator fold-back. Generator fold-back reduced delivered power to 119 W.",1. Reflected power confirmed elevated at RF generator panel (12% of forward power). 2. Auto-tune log showed 8 tune events in last 3 wafers (normal: < 2). 3. Match unit replaced by qualified RF technician under LOCKOUT/TAGOUT. 4. Reflected power reduced to < 2% after replacement. 5. RF bottom power confirmed at 133 W on 3 monitor wafers.,3.5,PASS — RF bottom power stable. Lot LOT_31C: wafer 3120 passed QA re-inspection.,No,"Auto-tune frequency trend should be added to daily SPC chart. Reflected power > 8% is an early warning that must trigger a maintenance review, not just a log entry."
INC-3142-002,3142,LOT_31E,CHA,cl2_flow,"Cl2 flow at 744 sccm (below 748 sccm min), MEDIUM, Step 3","Cl2 MFC sensor element drift — long-term data showed a gradual 4 sccm downward drift over the preceding 60 wafers, consistent with thermal mass flow sensor degradation. Calibration was 8 months out of date.","1. Cl2 MFC actual vs setpoint deviation confirmed — setpoint 752 sccm, actual 744 sccm, MFC valve at 87% open. 2. MFC replaced by qualified gas technician under LOCKOUT/TAGOUT with full gas line purge. 3. New MFC calibration verified with N2 surrogate. 4. Cl2 flow confirmed at 752 sccm on 3 monitor wafers. 5. VAT Relearn Sequence run after maintenance restart.",4.0,PASS — Cl2 flow stable. Wafer 3142 re-processed on next available slot; passed QA inspection.,No,Cl2 MFC calibration interval reduced to 6 months. Long-term Cl2 flow trend should be reviewed monthly as part of SPC monitoring — MFC drift is a known failure mode on this tool.
INC-NEW-001,3205,LOT_32A,CHA,tcp_top_pwr,"TCP Top Power TREND detected (352 W and rising, 8 W from 360 W max), MEDIUM, Step 3 — proactive response, no breach",RF generator PC RF hours at 1180 at time of trend detection. Early stage of power output drift consistent with generator approaching end of PM interval.,"1. Trend detected by production agent with estimated 2-wafer time to breach. 2. Process engineer notified. Decision: complete current lot (all 25 wafers within spec), then pull tool for PM. 3. PM scheduled at end of lot; full wet clean and generator PM performed. 4. No wafer loss — all wafers in LOT_32A passed QA.",10.0,PASS — Zero wafer loss due to early trend detection. MTBF goal maintained.,No,Proactive TREND response with early PM scheduling prevented CRITICAL fault. This is the target operational model for this tool.
