guide_id,fault_description,sensor,symptoms,possible_root_causes,diagnostic_steps,corrective_actions,escalation_trigger,related_sop_ids
TG-TCP-001,TCP Top Power elevated above setpoint (> 360 W),tcp_top_pwr,"tcp_top_pwr reading > 360 W for 1+ consecutive process steps; alarm state RED (hard fault, process aborted) or YELLOW (run fault); Al etch rate may exceed 8000 Å/min target","1. RF generator degradation — output impedance drift at high hours (>1200). 2. Impedance matching network fault — network unable to maintain minimum reflected power. 3. Recipe set-point error — incorrect recipe version loaded after PM or recipe transfer. 4. Cooling water flow low — thermal derating circuit not functioning, allowing power runaway. 5. Plasma load condition change — chamber wall condition after cleaning affects plasma coupling efficiency.",1. Check RF generator hour counter on Maintain/TCP page. 2. Review auto-tune log for impedance matching network — increasing tune frequency indicates degradation. 3. Compare loaded recipe set-point to approved master recipe sheet. 4. Confirm cooling water flow rate at TCP generator panel. Flow < spec triggers power derate. 5. Check number of conditioning wafers run since last wet clean (< 50 suggests under-conditioned chamber).,"Hours > 1200: initiate PM work order, replace RF generator per MAN-TCP-001. Impedance network fault: replace match unit per MAN-TCP-002 — requires qualified RF technician. Recipe mismatch: reload correct recipe version, re-qualify with 3 monitor wafers. Low cooling water: notify facilities. Do not restart tool until flow is confirmed. Under-conditioned chamber: run additional conditioning wafers before production restart.","Deviation > 30 W above setpoint, or 3+ consecutive wafers affected, or cooling water fault confirmed","SOP-TCP-001, SOP-PM-001, SOP-ESC-001"
TG-TCP-002,TCP Top Power depressed below setpoint (< 334 W),tcp_top_pwr,tcp_top_pwr < 334 W; etch rate may fall below 8000 Å/min; incomplete metal etch or residual barrier layer possible,1. RF generator output degradation — generator unable to deliver set power. 2. Excessive reflected power — impedance mismatch causing generator protection fold-back. 3. Recipe set-point error — lower set-point loaded. 4. TCP coil or dielectric window condition — deposits on window reduce inductive coupling. 5. Plasma ignition instability — pressure out of range preventing stable plasma.,1. Check reflected power reading at RF generator. High reflected power triggers fold-back. 2. Check pressure reading — pressure deviation can prevent stable plasma formation. 3. Verify recipe set-point. 4. Inspect TCP window condition if RF hours > 70 (DSQ RF hours threshold for O-ring replacement check). 5. Check RF generator fault log for arc detection events.,"High reflected power: check impedance match network; replace if faulty. Pressure fault: resolve pressure fault first per SOP-PRES-001. Recipe error: reload correct recipe, re-qualify. Window condition: schedule wet clean PM. Generator fault: replace or service RF generator.","Deviation > 20 W below setpoint, or etch stop suspected on production wafers","SOP-TCP-001, SOP-TCP-002, SOP-PM-001"
TG-TCP-003,TCP Top Power trending upward toward 360 W limit,tcp_top_pwr,tcp_top_pwr rising 3–8 W per wafer over multiple consecutive steps; not yet at hard limit but time-to-breach < 5 wafers,"1. RF generator hour drift — gradual output increase as generator ages past 1100 hours. 2. Chamber wall condition changing — post-clean conditioning incomplete, coupling efficiency rising. 3. Impedance network creeping toward resonance — slow thermal drift in network components.","1. Pull RF generator hours. If > 1100, schedule PM before breach. 2. Review wafer count since last wet clean. If < 50 condition wafers run, chamber may still be in post-clean conditioning transient. 3. Track auto-tune call frequency over last 10 wafers — increasing frequency means network drift.","Hours > 1100: schedule PM immediately, do not wait for breach. Post-clean transient: run remaining condition wafers, monitor for stabilization. Network drift: request match unit inspection during next scheduled maintenance window.","Drift rate > 5 W per wafer, or time-to-breach < 3 wafers","SOP-TCP-002, SOP-PM-001"
TG-BCL3-001,BCl3 Flow elevated above setpoint (> 765 sccm),bcl3_flow,bcl3_flow > 765 sccm; potential over-etch of aluminum metal lines; possible resist erosion from excess halogen,1. MFC set-point error — recipe loaded with higher BCl3 flow. 2. MFC valve stuck open — BCl3 MFC flow controller hardware fault. 3. Upstream regulator overpressure — regulator drift delivering excess pressure to MFC inlet. 4. Parallel recipe step conflict — incorrect step parameters inherited from prior recipe.,1. Compare MFC set-point on gas panel screen to approved master recipe. 2. Check upstream BCl3 regulator output pressure. Expected: 20–30 psi at MFC inlet. 3. Check MFC valve status on the gas panel — OPEN percentage should match flow. 4. Verify recipe step parameters for the affected step number.,"Set-point error: reload correct recipe version. MFC stuck open: take chamber offline, replace BCl3 MFC — requires BCl3 gas line purge and LOCKOUT. Upstream overpressure: adjust regulator to spec pressure. Recipe conflict: correct step parameters and re-qualify recipe.","Flow > 780 sccm (> 15 sccm above max), or MFC valve fault confirmed","SOP-BCL3-001, SOP-CHAM-001"
TG-BCL3-002,BCl3 Flow depressed below setpoint (< 740 sccm),bcl3_flow,bcl3_flow < 740 sccm; risk of incomplete native oxide breakthrough before aluminum etch; etch rate non-uniformity may increase,"1. BCl3 cylinder near empty — pressure < 50 psi causes flow drop. 2. MFC drift — gradual valve-closure drift, common over >6 months without recalibration. 3. Upstream line blockage — particle or condensate plugging the BCl3 delivery line. 4. Regulator under-pressure — delivery pressure too low for MFC to reach setpoint.","1. Check BCl3 cylinder pressure at gas cabinet. 2. Check MFC calibration date in PM log. 3. Check line pressure upstream of MFC. 4. Check MFC valve open percentage — if valve is near 100% and flow is low, downstream restriction is likely.",Cylinder empty: switch to backup cylinder per gas changeover SOP. MFC drift: schedule MFC recalibration or replacement during next maintenance window. Line blockage: requires gas line inspection by qualified gas technician under LOCKOUT. Regulator under-pressure: adjust regulator.,"Flow < 725 sccm (> 15 sccm below min), or cylinder changeover needed mid-lot","SOP-BCL3-001, SOP-BCL3-002"
TG-CL2-001,Cl2 Flow out of range (< 748 or > 758 sccm),cl2_flow,cl2_flow outside 748–758 sccm; narrow 10 sccm window means even small MFC drift causes fault; etch chemistry imbalance possible,1. Cl2-MFC drift — documented failure mode in LAM 9600 TCP long-term production data (77-lot study). Drift appears as gradual flow shift while setpoint is unchanged. 2. Recipe set-point error. 3. Cl2 cylinder depleted. 4. Upstream regulator drift.,1. Compare Cl2 MFC actual flow vs. setpoint — drift is confirmed if actual ≠ setpoint by > 2 sccm with no setpoint change. 2. Check Cl2 cylinder pressure at VMB. 3. Compare loaded recipe to master recipe. 4. Check upstream Cl2 pressure at MFC inlet. 5. Review long-term Cl2 flow chart for gradual drift signature (slope over 20+ wafers).,MFC drift confirmed: replace Cl2 MFC. Run VAT Relearn after restart. Recipe error: reload correct recipe. Cylinder low: schedule cylinder change. Regulator drift: adjust to spec.,Any confirmed MFC drift or flow outside 748–758 sccm for 2+ consecutive wafers,"SOP-CL2-001, SOP-CL2-002"
TG-PRES-001,Chamber pressure out of range (< 942 or > 1420 mTorr),pressure,Pressure CDG reading outside 942–1420 mTorr; plasma may be unstable; etch rate and uniformity affected,1. Throttle valve (VAT valve) position drift — most common cause; valve feedback error or actuator wear. 2. Turbomolecular pump speed deviation — TMP rated 1000 l/s; speed deviation changes effective pumping. 3. Gas flow anomaly — BCl3/Cl2 MFC fault causing pressure coupling deviation. 4. Chamber leak — small vacuum leak raises base pressure and affects process pressure. 5. Recipe set-point error — pressure controller set to wrong target.,"1. Check VAT valve position feedback on Maintain/Main Chamber page. 2. Confirm BCl3 and Cl2 flows are within normal range. 3. Check TMP speed and status LED. 4. Run timed leak-rate test: vent load locks, close all valves, monitor CDG for 5 minutes. 5. Compare pressure controller set-point in loaded recipe to master recipe.","VAT valve position error: run VAT Relearn Sequence (VAT-64: 60 sccm Ar at 10 mTorr; VAT-65: 40 sccm Ar). TMP fault: check TMP controller; notify facilities if speed < spec. Gas flow fault: resolve BCl3/Cl2 fault first per appropriate SOP. Chamber leak: identify leak source (viewport seal, o-ring, fittings) and repair under LOCKOUT. Recipe error: reload correct recipe.","Pressure deviation > 200 mTorr from setpoint, or confirmed chamber leak","SOP-PRES-001, SOP-CHAM-001"
TG-PRES-002,Chamber pressure trending toward limit,pressure,Pressure drifting upward toward 1420 mTorr or downward toward 942 mTorr over multiple wafers; trend rate > 20 mTorr per wafer,1. Throttle valve slow actuator drift — position offset builds over many wafers. 2. Chamber wall condition change — post-clean conditioning alters gas load on vacuum system. 3. Progressive MFC drift — gas flow drift coupled to pressure drift.,1. Check pressure vs. step trend over last 10 wafers. 2. Confirm gas flows are stable. 3. Check VAT valve position feedback for gradual offset.,VAT drift: run VAT Relearn during next scheduled downtime. Post-clean transient: complete conditioning wafer run. MFC drift: schedule MFC inspection.,"Trend rate > 50 mTorr per wafer, or concurrent gas flow drift","SOP-PRES-002, SOP-PM-001"
TG-RF-001,RF Bottom Power out of range (< 124 or > 142 W),rf_btm_pwr,"rf_btm_pwr outside 124–142 W; ion energy off-target; potential etch profile change (footing if low, resist erosion if high)",1. RF match unit fault — auto-tune unable to minimize reflected power. 2. Recipe set-point error. 3. RF generator hour degradation (> 1200 hours). 4. RF cable or connection fault — intermittent connection causes power instability. 5. ESC (electrostatic chuck) condition — chuck condition affects RF coupling.,1. Check RF generator hours for bottom RF. 2. Check auto-tune log — frequent re-tune events indicate match unit fault. 3. Compare recipe set-point to master recipe. 4. Inspect RF cable connections at generator and match unit. 5. Check reflected power — high reflected power causes generator fold-back.,Hours > 1200: schedule PM and replace bottom RF generator. Match unit fault: replace match unit — requires qualified RF technician under LOCKOUT. Recipe error: reload correct recipe. Cable fault: replace RF cable under LOCKOUT. ESC condition: schedule ESC inspection during next PM.,"Deviation > 15 W, or RF arc event logged, or match unit fault confirmed","SOP-RF-001, SOP-RF-002"
TG-GEN-001,RF generator hour threshold exceeded (TCP or bottom RF > 1200 hours),"tcp_top_pwr,rf_btm_pwr",RF hour counter on Maintain/TCP page shows PC RF Hours or DSQ RF Hours > 1200; increased power instability; higher auto-tune frequency; TCP window O-ring replacement due if DSQ RF hours > 70,Normal wear — RF generators and associated O-rings have defined replacement intervals based on RF hours.,"1. Read PC RF Hours and DSQ RF Hours from Maintain/TCP page. 2. Confirm hours against PM log — ensure this is new hours, not a counter reset error. 3. If DSQ RF hours > 70: TCP Window O-ring replacement is due regardless of other PM status.","PC RF Hours > 1200: schedule TCP generator PM. Log hours on wet clean record. DSQ RF Hours > 70: replace DSQ TCP Window O-ring during next wet clean. Replace all quarterly PM items at this interval: VAT motor housing seals (Size 329), Nupro valve stem tips, Side Plate O-rings, DSQ O-rings.",Hours > 1400 (overdue); any process deviation observed with generator at high hours,"SOP-PM-001, SOP-TCP-001"
