part_number,description,component_category,compatible_chambers,quantity_on_hand,reorder_level,lead_time_days,unit_cost_usd,storage_location,last_used_date,last_used_wo,supplier,notes
IMP-CAP-7730,TCP Generator Capacitor Bank Assembly,TCP_GENERATOR,"CHA,CHB",1,1,14,4200.0,PARTS-ROOM-A-SHELF-3,2024-03-04,WO-CHA-2915,Advanced Energy Industries,"LOW STOCK — 1 unit consumed on WO-CHA-2915, now at reorder level. Order replacement immediately. 14-day lead time. Critical part — keep minimum 2 on hand."
TCP-PSB-3300,TCP Generator Power Supply Board,TCP_GENERATOR,"CHA,CHB",2,1,21,8500.0,PARTS-ROOM-A-SHELF-3,2024-03-25,WO-CHA-3120,Advanced Energy Industries,In stock. 2 units on hand. 1 unit consumed on WO-CHA-3120; replacement on order.
TCP-SEAL-O42,TCP Generator O-Ring Kit (full set),TCP_GENERATOR,"CHA,CHB",5,2,7,85.0,PARTS-ROOM-B-SHELF-1,2024-03-25,WO-CHA-3120,Parker Hannifin,In stock. Consumable — replace at every TCP generator intervention.
RF-GEN-4500,RF Generator Module (Complete Unit),RF_GENERATOR,"CHA,CHB",0,1,21,32000.0,PARTS-ROOM-A-SHELF-1,2023-12-18,WO-CHA-2680,Advanced Energy Industries,OUT OF STOCK — unit consumed on WO-CHA-2680. Failed unit at vendor for repair. PO placed; lead time 21 days. CRITICAL: any RF generator failure requires 21-day production hold without spare.
RF-MATCH-CAP-BD,RF Matching Network Capacitor Board,RF_GENERATOR,"CHA,CHB",2,1,14,2800.0,PARTS-ROOM-A-SHELF-2,2024-03-25,WO-CHA-3122,Advanced Energy Industries,In stock. Replace on 12-month interval or on RF matching instability diagnosis.
RF-CABLE-28A,RF Power Cable Assembly 28A,RF_GENERATOR,"CHA,CHB",3,2,5,340.0,PARTS-ROOM-B-SHELF-2,2023-12-18,WO-CHA-2680,Huber+Suhner,In stock. Replace as precaution during RF generator module replacement.
MFC-BCL3-T750,BCl3 Mass Flow Controller Transducer (750 sccm),BCL3_MFC,"CHA,CHB",2,1,28,6200.0,PARTS-ROOM-A-SHELF-4,2023-12-01,WO-CHA-2650,Brooks Instrument,In stock. Corrosive gas service — 60-day calibration interval. Replace transducer on calibration failure or flow deviation >2 sccm.
MFC-REPAIR-KIT,"MFC Repair Kit (Universal, 750 sccm class)",BCL3_MFC,"CHA,CHB",4,2,10,450.0,PARTS-ROOM-B-SHELF-3,2023-12-01,WO-CHA-2650,Brooks Instrument,In stock. Compatible with BCl3 and Cl2 MFC models. Use for minor seal and diaphragm repairs.
MFC-CL2-T750,Cl2 Mass Flow Controller Transducer (750 sccm),CL2_MFC,"CHA,CHB",1,1,28,6200.0,PARTS-ROOM-A-SHELF-4,2023-11-05,WO-CHA-2600,Brooks Instrument,LOW STOCK — at reorder level. 28-day lead time. Order before next Cl2 MFC fault to avoid production hold.
MFC-BODY-750,MFC Body Assembly 750 sccm (Cl2/Corrosive),CL2_MFC,"CHA,CHB",2,1,21,1800.0,PARTS-ROOM-A-SHELF-4,2023-11-05,WO-CHA-2600,Brooks Instrument,In stock. Replace body seal on 18-month interval for corrosive gas service.
PRES-XDCR-1500,Chamber Pressure Transducer 0-1500 mTorr (Baratron),PRESSURE_SYSTEM,"CHA,CHB",3,2,14,1200.0,PARTS-ROOM-B-SHELF-4,2023-09-20,WO-CHA-2500,MKS Instruments,In stock. Replace on calibration failure or Baratron physical damage. 180-day calibration interval.
APC-VALVE-SEAL,APC Butterfly Valve Seal Kit,PRESSURE_SYSTEM,"CHA,CHB",2,1,10,280.0,PARTS-ROOM-B-SHELF-4,2023-09-20,WO-CHA-2500,VAT Group,In stock. Replace on 12-month interval or on APC valve hunting/instability diagnosis.
CHAM-ORING-KIT,Chamber Main O-Ring Kit (full set),PRESSURE_SYSTEM,"CHA,CHB",6,3,5,180.0,PARTS-ROOM-B-SHELF-1,2024-02-10,WO-CHA-FULLPM-2024,Parker Hannifin,In stock. Consumable — replace at every Full PM.
ESC-SEAL-HE9,ESC He Feed-Through O-Ring Seal,ESC_HE_CIRCUIT,"CHA,CHB",4,2,7,95.0,PARTS-ROOM-B-SHELF-1,2024-03-04,WO-CHA-2940,Parker Hannifin,In stock. Replace at 1800 thermal cycles or on He backside pressure loss. Replace full seal set when one fails.
ESC-HE-REG-02,He Backside Pressure Regulator,ESC_HE_CIRCUIT,"CHA,CHB",1,1,21,2400.0,PARTS-ROOM-A-SHELF-5,2022-06-01,N/A,Swagelok,LOW STOCK — at reorder level. 21-day lead time. Replace on He pressure regulation failure.
ESC-GREASE-07,ESC Thermal Interface Compound (50g tube),ESC_HE_CIRCUIT,"CHA,CHB",8,3,3,45.0,PARTS-ROOM-B-SHELF-1,2024-03-04,WO-CHA-2940,Shin-Etsu Chemical,In stock. Apply at every ESC He circuit intervention. Do not reuse opened containers.
ELEC-SI-300,Silicon Electrode 300mm,GENERAL,"CHA,CHB",6,3,14,1600.0,PARTS-ROOM-A-SHELF-6,2024-01-20,WO-CHA-ELEC-2024,Entegris,In stock. Replace at ELECTRODE_CHANGE PM interval (150 wafers) or on visual inspection failure.
FOCUS-RING-300,Focus Ring 300mm Quartz,GENERAL,"CHA,CHB",4,2,21,2200.0,PARTS-ROOM-A-SHELF-6,2024-01-20,WO-CHA-ELEC-2024,Momentive Performance Materials,In stock. Replace at ELECTRODE_CHANGE PM interval or on etch uniformity degradation.
